,x,y,z,node,line_id,point_id,degree,cc,vol_cc,avg_PK_Of_element,element_connectivity,folder_name
274,4.7667,18.772,2.0,177,109,9,3,38,4.74822,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
275,4.7667,18.772,2.0,177,165,9,3,38,4.74822,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
276,4.576,17.68,2.5,178,100,5,3,38,4.74822,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
277,4.576,17.68,2.5,178,107,5,3,38,4.74822,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
278,4.576,17.68,2.5,178,165,5,3,38,4.74822,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
279,8.944,16.64,2.5,179,103,9,1,60,0.94099,2.0,0.5,TCDD1nM4hr1_Subset
280,8.736,16.432,2.5,180,97,7,1,78,0.14602,1.0,1.0,TCDD1nM4hr1_Subset
281,9.568,16.224,2.5,181,102,14,1,60,0.94099,2.0,0.5,TCDD1nM4hr1_Subset
282,9.048,12.896,2.5,182,0,3,1,95,0.2055,1.0,1.0,TCDD1nM4hr1_Subset
283,12.584,12.792,2.5,183,91,2,1,79,0.22714,1.0,1.0,TCDD1nM4hr1_Subset
284,4.992,12.064,2.5,184,164,0,1,48,1.29251,2.0,0.5,TCDD1nM4hr1_Subset
285,10.192,11.96,2.5,185,85,6,1,61,2.15779,2.0,0.5,TCDD1nM4hr1_Subset
286,9.464,10.92,2.5,186,86,5,1,61,2.15779,2.0,0.5,TCDD1nM4hr1_Subset
287,9.048,9.984,2.5,187,83,2,1,80,0.21091,1.0,1.0,TCDD1nM4hr1_Subset
288,9.88,9.464,2.5,188,163,3,1,63,1.6873,2.5,0.4,TCDD1nM4hr1_Subset
289,10.296,9.256,2.1,189,5,13,4,63,1.6873,2.5,0.4,TCDD1nM4hr1_Subset
290,10.296,9.256,2.1,189,8,13,4,63,1.6873,2.5,0.4,TCDD1nM4hr1_Subset
291,10.296,9.256,2.1,189,81,13,4,63,1.6873,2.5,0.4,TCDD1nM4hr1_Subset
292,10.296,9.256,2.1,189,163,13,4,63,1.6873,2.5,0.4,TCDD1nM4hr1_Subset
293,11.232,8.424,2.5,190,81,10,1,63,1.6873,2.5,0.4,TCDD1nM4hr1_Subset
294,7.28,8.216,2.5,191,75,15,3,29,5.49994,2.0,0.5,TCDD1nM4hr1_Subset
295,7.28,8.216,2.5,191,78,15,3,29,5.49994,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
296,7.28,8.216,2.5,191,157,15,3,29,5.49994,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
297,5.616,7.904,2.5,192,156,0,1,40,2.39034,2.5,0.4,TCDD1nM4hr1_Subset
298,4.784,7.696,2.5,193,80,9,1,40,2.39034,2.5,0.4,TCDD1nM4hr1_Subset
299,7.904,7.488,2.5,194,76,2,1,81,0.18928,1.0,1.0,TCDD1nM4hr1_Subset
300,9.36,6.968,2.5,195,155,14,1,64,0.84365,1.0,1.0,TCDD1nM4hr1_Subset
301,8.528,6.968,2.5,196,155,0,1,64,0.84365,1.0,1.0,TCDD1nM4hr1_Subset
302,7.8,6.656,2.5,197,73,3,1,82,1.13027,2.0,0.5,TCDD1nM4hr1_Subset
303,7.9931,5.6309,1.9286,198,71,0,3,82,1.13027,2.0,0.5,TCDD1nM4hr1_Subset
304,7.9931,5.6309,1.9286,198,72,0,3,82,1.13027,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
305,7.9931,5.6309,1.9286,198,74,0,3,82,1.13027,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
306,6.136,39.0,2.0,199,154,2,1,66,1.4169,2.0,0.5,TCDD1nM4hr1_Subset
307,6.032,38.792,2.0,200,67,3,3,66,1.4169,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
308,6.032,38.792,2.0,200,153,3,3,66,1.4169,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
309,6.032,38.792,2.0,200,154,3,3,66,1.4169,2.0,0.5,TCDD1nM4hr1_Subset
310,6.3093,37.5787,1.8333,201,64,0,3,66,1.4169,2.0,0.5,TCDD1nM4hr1_Subset
311,6.3093,37.5787,1.8333,201,152,0,3,66,1.4169,2.0,0.5,TCDD1nM4hr1_Subset
312,6.3093,37.5787,1.8333,201,153,0,3,66,1.4169,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
313,5.72,37.44,2.0,202,152,0,1,66,1.4169,2.0,0.5,TCDD1nM4hr1_Subset
